"Date","Price","Open","High","Low","Vol.","Change %"
"10/29/2017","218.50","220.90","224.55","217.00","71.82K","-1.11%"
"10/22/2017","220.95","217.95","222.25","217.95","0.75K","-0.76%"
"10/15/2017","222.65","225.55","227.95","219.06","1.58K","-2.02%"
"10/08/2017","227.25","226.55","231.55","226.55","1.29K","0.89%"
"10/01/2017","225.25","230.00","232.21","223.45","0.67K","0.33%"
"09/24/2017","224.50","230.00","230.00","218.05","3.42K","-2.82%"
"09/17/2017","231.01","236.77","237.05","229.00","2.57K","-2.80%"
"09/10/2017","237.66","234.05","237.99","233.05","1.13K","2.00%"
"09/03/2017","233.00","226.99","236.00","224.87","0.15K","3.69%"
"08/27/2017","224.70","220.25","227.46","218.50","47.92K","1.10%"
"08/20/2017","222.25","223.35","225.05","220.50","0.34K","-0.56%"
"08/13/2017","223.50","228.45","230.00","216.70","0.44K","-0.89%"
"08/06/2017","225.50","235.00","236.25","223.54","1.09K","-3.30%"
"07/30/2017","233.20","229.00","235.10","225.25","7.56K","2.28%"
"07/23/2017","228.01","207.62","228.04","204.00","7.49K","8.97%"
"07/16/2017","209.25","207.23","210.00","205.00","1.23K","2.83%"
"07/09/2017","203.50","198.50","205.47","198.25","14.04K","1.75%"
"07/02/2017","200.00","193.20","202.00","193.20","0.28K","4.49%"
"06/25/2017","191.40","189.95","194.26","187.66","0.40K","1.81%"
"06/18/2017","188.00","195.75","195.75","188.00","1.19K","-2.86%"
"06/11/2017","193.54","190.15","200.75","190.15","19.87K","2.27%"
"06/04/2017","189.25","192.00","194.20","188.61","0.78K","-2.45%"
"05/28/2017","194.00","194.00","194.57","190.25","0.47K","0.34%"
"05/21/2017","193.35","193.00","193.90","189.00","8.34K","0.09%"
"05/14/2017","193.17","194.35","196.91","193.00","0.43K","-0.14%"
"05/07/2017","193.45","200.67","200.70","192.76","1.97K","-4.35%"
"04/30/2017","202.25","200.93","203.50","198.00","3.11K","1.13%"
"04/23/2017","200.00","197.68","203.70","197.68","1.51K","3.76%"
"04/16/2017","192.75","192.45","192.75","188.33","0.57K","1.74%"
"04/09/2017","189.46","187.80","189.50","186.00","0.54K","1.47%"
"04/02/2017","186.71","187.34","190.25","186.04","6.63K","-1.86%"
"03/26/2017","190.25","191.10","194.00","188.22","2.14K","-1.88%"
"03/19/2017","193.90","197.03","197.05","192.10","2.47K","-2.07%"
"03/12/2017","198.00","192.55","198.00","186.28","12.09K","4.07%"
"03/05/2017","190.25","170.85","190.30","168.00","1.12K","11.48%"
"02/26/2017","170.66","166.20","171.20","166.20","0.21K","6.76%"
"02/19/2017","159.85","159.57","162.69","159.25","0.28K","2.30%"
"02/12/2017","156.25","161.79","161.79","156.25","0.07K","-1.26%"
"02/05/2017","158.25","154.60","158.75","153.70","0.70K","0.48%"
"01/29/2017","157.50","161.83","162.25","156.60","1.36K","-5.01%"
"01/22/2017","165.81","163.73","167.05","163.73","1.63K","2.54%"
"01/15/2017","161.70","155.95","162.50","155.95","0.05K","3.45%"
"01/08/2017","156.30","152.74","157.12","152.74","0.23K","2.80%"
"01/01/2017","152.04","154.50","156.60","152.00","1.18K","-3.92%"
"12/25/2016","158.25","152.96","159.84","152.96","0.45K","4.11%"
"12/18/2016","152.00","151.85","152.00","150.20","0.77K","1.13%"
"12/11/2016","150.30","152.40","152.40","148.90","1.03K","-1.55%"
"12/04/2016","152.67","152.67","152.67","152.67","0.38K","4.68%"
"11/27/2016","145.85","146.70","146.70","145.85","1.08K","-1.69%"
"11/20/2016","148.35","147.09","148.35","146.46","0.84K","0.41%"
"11/13/2016","147.74","143.10","147.74","142.85","1.28K","-1.24%"
"11/06/2016","149.60","151.55","151.55","149.60","0.33K","1.84%"
"10/30/2016","146.90","147.39","147.39","146.82","0.72K","-9.74%"
"10/23/2016","162.75","162.75","162.75","162.75","0.61K","-3.98%"
"10/16/2016","169.50","169.50","169.50","169.50","0.23K","0.77%"
"10/09/2016","168.20","168.20","168.20","168.20","0.33K","-2.63%"
"10/02/2016","172.75","173.42","174.89","170.85","0.48K","0.41%"
"09/25/2016","172.04","172.58","174.75","171.40","1.94K","-0.07%"
"09/18/2016","172.16","166.70","172.16","166.70","0.85K","2.70%"
"09/11/2016","167.64","164.51","168.23","164.51","0.84K","2.22%"
"09/04/2016","164.00","164.05","167.18","164.00","1.08K","0.00%"
"08/28/2016","164.00","166.30","166.40","164.00","3.81K","-3.27%"
"08/21/2016","169.55","172.26","172.26","169.55","0.73K","-3.60%"
"08/14/2016","175.89","174.00","177.34","173.80","1.26K","1.25%"
"08/07/2016","173.71","165.36","173.71","165.18","2.01K","6.44%"
"07/31/2016","163.20","165.00","166.63","161.85","1.82K","-0.54%"
"07/24/2016","164.09","152.17","164.09","152.17","8.88K","8.81%"
"07/17/2016","150.81","145.90","153.25","145.90","5.15K","4.53%"
"07/10/2016","144.28","143.14","145.42","142.30","0.91K","3.72%"
"07/03/2016","139.10","138.84","142.03","138.45","1.75K","-2.24%"
"06/26/2016","142.28","131.59","144.93","130.71","2.46K","5.78%"
"06/19/2016","134.50","138.89","138.89","131.75","0.92K","1.39%"
"06/12/2016","132.65","133.00","133.00","129.07","2.27K","-1.01%"
"06/05/2016","134.00","133.14","134.20","133.14","12.49K","1.20%"
"05/29/2016","132.41","127.74","132.41","127.74","25.82K","3.54%"
"05/22/2016","127.88","127.48","127.89","127.48","1.96K","1.15%"
"05/15/2016","126.42","124.55","126.42","123.57","11.23K","1.96%"
"05/08/2016","123.99","130.11","132.05","123.99","1.56K","-4.26%"
"05/01/2016","129.51","130.28","130.93","128.96","1.01K","8.62%"
"04/17/2016","119.23","118.75","121.57","118.75","2.92K","0.41%"
"04/10/2016","118.74","118.74","118.74","118.74","0.19K","1.55%"
"04/03/2016","116.93","116.93","116.93","116.93","0.33K","0.46%"
"03/27/2016","116.40","114.88","118.30","114.80","0.94K","1.23%"
"03/20/2016","114.98","112.94","114.98","112.94","0.49K","0.91%"
"03/13/2016","113.94","113.01","113.94","113.01","1.16K","2.57%"
"03/06/2016","111.08","109.25","111.08","108.82","2.51K","3.84%"
"02/28/2016","106.97","107.12","107.12","106.97","0.49K","-0.83%"
"02/21/2016","107.87","109.77","109.77","106.46","0.43K","-2.56%"
"02/14/2016","110.70","101.56","110.70","101.56","0.60K","12.74%"
"02/07/2016","98.19","96.45","98.20","96.45","0.45K","-5.05%"
"01/31/2016","103.41","103.41","103.41","103.41","2.69K","3.09%"
"01/24/2016","100.31","100.31","100.31","100.31","0.88K","0.57%"
"01/17/2016","99.74","100.16","100.31","99.00","2.35K","8.01%"
"01/10/2016","92.34","93.66","93.66","91.84","2.23K","1.51%"
"01/03/2016","90.97","90.97","90.97","90.97","0.43K","-7.74%"
"12/27/2015","98.60","98.00","98.60","98.00","0.43K","2.12%"
"12/20/2015","96.55","95.62","96.55","95.62","1.02K","-0.09%"
"12/13/2015","96.64","98.37","98.37","96.64","1.03K","0.13%"
"12/06/2015","96.51","100.00","100.22","96.51","0.41K","-2.52%"
"11/29/2015","99.00","99.50","99.50","97.85","11.87K","4.98%"
"11/22/2015","94.30","94.30","94.30","94.30","2.00K","0.52%"
"11/15/2015","93.81","91.81","93.98","90.68","20.84K","2.41%"
"11/08/2015","91.60","94.28","94.28","91.60","9.10K","-3.01%"
"11/01/2015","94.44","88.97","96.82","88.97","12.26K","3.09%"
"10/25/2015","91.61","91.47","91.61","91.47","9.57K","2.43%"
"10/18/2015","89.44","87.70","89.44","87.70","22.51K","3.11%"
