"Date","Price","Open","High","Low","Vol.","Change %"
"08/23/2020","28,653.87","28,077.58","28,733.35","28,041.75","1.83B","2.59%"
"08/16/2020","27,930.33","27,970.05","27,999.81","27,526.25","1.56B","0.00%"
"08/09/2020","27,931.02","27,488.21","28,154.88","27,488.21","1.78B","1.81%"
"08/02/2020","27,433.48","26,542.32","27,456.24","26,534.38","1.81B","3.80%"
"07/26/2020","26,428.32","26,447.67","26,625.46","25,992.28","1.96B","-0.16%"
"07/19/2020","26,469.89","26,660.29","27,035.24","26,402.86","2.01B","-0.76%"
"07/12/2020","26,671.95","26,225.07","27,071.33","25,994.98","1.81B","2.29%"
"07/05/2020","26,075.30","25,996.08","26,297.53","25,523.51","1.76B","0.96%"
"06/28/2020","25,827.36","25,152.45","26,204.41","25,096.16","1.52B","3.25%"
"06/21/2020","25,015.55","25,865.08","26,314.97","24,971.03","2.26B","-3.31%"
"06/14/2020","25,871.46","25,270.39","26,611.03","24,843.18","2.30B","1.04%"
"06/07/2020","25,605.54","27,232.93","27,580.21","25,078.41","2.44B","-5.55%"
"05/31/2020","27,110.98","25,342.99","27,338.30","25,220.66","2.02B","6.81%"
"05/24/2020","25,383.11","24,781.84","25,758.79","24,781.84","1.77B","3.75%"
"05/17/2020","24,465.16","24,059.98","24,718.46","24,059.98","1.84B","3.29%"
"05/10/2020","23,685.42","24,256.45","24,382.09","22,789.62","2.16B","-2.65%"
"05/03/2020","24,331.32","23,581.55","24,349.90","23,361.16","1.82B","2.56%"
"04/26/2020","23,723.69","23,866.15","24,764.77","23,645.30","2.17B","-0.22%"
"04/19/2020","23,775.27","24,095.10","24,108.69","22,941.88","2.04B","-1.93%"
"04/12/2020","24,242.49","23,698.93","24,264.21","23,095.35","2.34B","2.21%"
"04/05/2020","23,719.37","21,693.63","24,008.99","21,693.63","2.25B","12.67%"
"03/29/2020","21,052.53","21,678.22","22,480.37","20,735.02","2.62B","-2.70%"
"03/22/2020","21,636.78","19,028.36","22,595.06","18,213.65","3.72B","12.84%"
"03/15/2020","19,173.98","20,917.53","21,768.28","18,917.46","4.11B","-17.30%"
"03/08/2020","23,185.62","24,992.36","25,020.99","21,154.46","3.82B","-10.36%"
"03/01/2020","25,864.78","25,590.51","27,102.34","25,226.62","2.82B","1.79%"
"02/23/2020","25,409.36","28,402.93","28,402.93","24,681.01","3.04B","-12.36%"
"02/16/2020","28,992.41","29,282.78","29,409.09","28,892.70","1.11B","-1.38%"
"02/09/2020","29,398.08","28,995.66","29,568.57","28,995.66","1.38B","1.02%"
"02/02/2020","29,102.51","28,319.65","29,408.05","28,319.65","1.52B","3.00%"
"01/26/2020","28,256.03","28,542.49","28,944.24","28,169.53","1.73B","-2.53%"
"01/19/2020","28,989.73","29,269.05","29,341.21","28,843.31","1.29B","-1.22%"
"01/12/2020","29,348.10","28,869.01","29,373.62","28,819.43","1.41B","1.82%"
"01/05/2020","28,823.77","28,465.50","29,009.07","28,418.63","1.35B","0.66%"
"12/29/2019","28,634.88","28,654.76","28,872.80","28,376.49","872.30M","-0.04%"
"12/22/2019","28,645.26","28,491.78","28,701.66","28,491.78","669.66M","0.67%"
"12/15/2019","28,455.09","28,191.67","28,608.64","28,191.67","1.73B","1.14%"
"12/08/2019","28,135.38","27,987.05","28,290.73","27,801.80","1.19B","0.43%"
"12/01/2019","28,015.06","28,109.74","28,109.84","27,325.13","1.17B","-0.13%"
"11/24/2019","28,051.41","27,917.77","28,174.97","27,917.77","899.05M","0.63%"
"11/17/2019","27,875.62","27,993.22","28,090.21","27,675.28","1.22B","-0.46%"
"11/10/2019","28,004.89","27,580.66","28,004.89","27,517.67","1.29B","1.17%"
"11/03/2019","27,681.24","27,402.06","27,774.67","27,402.06","1.30B","1.22%"
"10/27/2019","27,347.36","27,040.33","27,347.43","26,918.29","1.34B","1.44%"
"10/20/2019","26,958.06","26,852.67","27,015.37","26,714.34","1.29B","0.70%"
"10/13/2019","26,770.20","26,766.43","27,120.11","26,749.18","1.16B","-0.17%"
"10/06/2019","26,816.59","26,502.33","27,013.97","26,139.80","1.14B","0.91%"
"09/29/2019","26,573.72","26,852.33","27,046.21","25,743.46","1.29B","-0.92%"
"09/22/2019","26,820.25","26,851.45","27,079.68","26,704.96","1.21B","-0.43%"
"09/15/2019","26,935.07","27,146.06","27,272.17","26,899.15","1.39B","-1.05%"
"09/08/2019","27,219.52","26,866.23","27,306.73","26,717.05","1.38B","1.57%"
"09/01/2019","26,797.46","26,198.26","26,860.87","25,978.22","892.30M","1.49%"
"08/25/2019","26,403.28","25,826.05","26,514.62","25,637.43","1.12B","3.02%"
"08/18/2019","25,628.90","26,020.06","26,388.78","25,507.18","1.29B","-0.99%"
"08/11/2019","25,886.01","26,169.91","26,426.97","25,339.60","1.48B","-1.53%"
"08/04/2019","26,287.44","26,259.23","26,413.36","25,440.39","1.62B","-0.75%"
"07/28/2019","26,485.01","27,192.24","27,281.65","26,249.22","1.67B","-2.60%"
"07/21/2019","27,192.45","27,174.18","27,368.81","27,062.48","1.21B","0.14%"
"07/14/2019","27,154.20","27,364.69","27,398.68","27,068.79","1.13B","-0.65%"
"07/07/2019","27,332.03","26,835.64","27,333.79","26,665.57","1.14B","1.52%"
